Numero billet;Commande;Reservation;Date reservation;Heure reservation;Cle spectacle;Spectacle;Cle representation;Representation;Date representation;Heure representation;Date fin representation;Heure fin representation;Prix;Date acces;Heure acces;Tarif;Type de client;Type de produit;Serie;Etage;Filiere de vente;Nom;Prenom;Email;Adresse;Code postal;Pays;Age;Sexe
1491941;346848;838795;02/06/15 00:00;12:24:52;538;887;3589;887;17/12/15;20:00:00;17/12/15;21:15:00;32.0000;;;Proches abonnթs;Client;Place individuelle;1er Serie;ORCHESTRE;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;F
1491942;346848;838795;02/06/15 00:00;12:24:52;538;887;3589;887;17/12/15;20:00:00;17/12/15;21:15:00;32.0000;;;Proches abonnթs;Client;Place individuelle;1er Serie;ORCHESTRE;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;F
1491943;;838767;02/06/15 00:00;12:23:43;549;COMMENT VOUS RACONTEZ LA PARTIE?;3575;COMMENT VOUS RACONTEZ LA PARTIE?;01/12/15;20:00:00;01/12/15;21:30:00;27.0000;01/12/15;19:52:36;Abonnement mouettes;Client;Abonnement;1er Serie;ORCHESTRE;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;F
1491944;;838766;02/06/15 00:00;12:23:43;538;887;3588;887;16/12/15;20:00:00;16/12/15;21:15:00;27.0000;;;Abonnement mouettes;Client;Abonnement;1er Serie;ORCHESTRE;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;F
1491945;;838765;02/06/15 00:00;12:23:43;539;Sauterelles;3605;Sauterelles;05/01/16;20:00:00;05/01/16;22:30:00;27.0000;;;Abonnement mouettes;Client;Abonnement;1er Serie;ORCHESTRE;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;F
1491946;;838764;02/06/15 00:00;12:23:43;551;MORT D'UN COMMIS VOYAGEUR;3667;MORT D'UN COMMIS VOYAGEUR;01/03/16;20:00:00;01/03/16;22:00:00;27.0000;;;Abonnement mouettes;Client;Abonnement;1er Serie;ORCHESTRE;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;F
1491947;;838768;02/06/15 00:00;12:23:43;554;YO MATE A PINOCHET;3708;YO MATE A PINOCHET;30/03/16;20:00:00;30/03/16;21:30:00;27.0000;;;Abonnement mouettes;Client;Abonnement;1er Serie;ORCHESTRE;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;F
1491948;;838756;02/06/15 00:00;12:22:47;549;COMMENT VOUS RACONTEZ LA PARTIE?;3575;COMMENT VOUS RACONTEZ LA PARTIE?;01/12/15;20:00:00;01/12/15;21:30:00;27.0000;01/12/15;19:52:36;Abonnement mouettes;Client;Abonnement;1er Serie;ORCHESTRE;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;F
1491949;;838750;02/06/15 00:00;12:21:55;538;887;3588;887;16/12/15;20:00:00;16/12/15;21:15:00;27.0000;;;Abonnement mouettes;Client;Abonnement;1er Serie;ORCHESTRE;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;F
1491950;;838754;02/06/15 00:00;12:22:22;539;Sauterelles;3605;Sauterelles;05/01/16;20:00:00;05/01/16;22:30:00;27.0000;;;Abonnement mouettes;Client;Abonnement;1er Serie;ORCHESTRE;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;F
1491951;;838746;02/06/15 00:00;12:20:14;551;MORT D'UN COMMIS VOYAGEUR;3667;MORT D'UN COMMIS VOYAGEUR;01/03/16;20:00:00;01/03/16;22:00:00;27.0000;;;Abonnement mouettes;Client;Abonnement;1er Serie;ORCHESTRE;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;F
1491952;;838761;02/06/15 00:00;12:23:28;554;YO MATE A PINOCHET;3708;YO MATE A PINOCHET;30/03/16;20:00:00;30/03/16;21:30:00;27.0000;;;Abonnement mouettes;Client;Abonnement;1er Serie;ORCHESTRE;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;F
1491953;;838791;02/06/15 00:00;12:24:17;568;LA REINE DU CRIME;3768;LA REINE DU CRIME;09/10/15;20:00:00;09/10/15;21:30:00;27.0000;09/10/15;19:49:52;Abonnement mouettes;Client;Abonnement;1er Serie;ORCHESTRE;GUICHET;CZERWIEC;Thթodore et Christel;Thթodore et Christel.CZERWIEC@mail.fr;5 rue Larus argentatus;69003;France;51;F
1491954;;838791;02/06/15 00:00;12:24:17;568;LA REINE DU CRIME;3768;LA REINE DU CRIME;09/10/15;20:00:00;09/10/15;21:30:00;27.0000;09/10/15;19:49:52;Abonnement mouettes;Client;Abonnement;1er Serie;ORCHESTRE;GUICHET;CZERWIEC;Thթodore et Christel;Thթodore et Christel.CZERWIEC@mail.fr;5 rue Larus argentatus;69003;France;51;F
1491955;;838803;02/06/15 00:00;12:25:34;545;WAR SWEET WAR;3552;WAR SWEET WAR;07/11/15;20:00:00;07/11/15;21:40:00;27.0000;07/11/15;19:44:37;Abonnement mouettes;Client;Abonnement;1er Serie;ORCHESTRE;GUICHET;CZERWIEC;Thթodore et Christel;Thթodore et Christel.CZERWIEC@mail.fr;5 rue Larus argentatus;69003;France;51;F
1491956;;838803;02/06/15 00:00;12:25:34;545;WAR SWEET WAR;3552;WAR SWEET WAR;07/11/15;20:00:00;07/11/15;21:40:00;27.0000;07/11/15;19:44:37;Abonnement mouettes;Client;Abonnement;1er Serie;ORCHESTRE;GUICHET;CZERWIEC;Thթodore et Christel;Thթodore et Christel.CZERWIEC@mail.fr;5 rue Larus argentatus;69003;France;51;F
1491957;;838805;02/06/15 00:00;12:25:47;546;DREAMSPELL;3553;DREAMSPELL;13/11/15;20:00:00;13/11/15;22:00:00;27.0000;13/11/15;19:47:01;Abonnement mouettes;Client;Abonnement;1er Serie;ORCHESTRE;GUICHET;CZERWIEC;Thթodore et Christel;Thթodore et Christel.CZERWIEC@mail.fr;5 rue Larus argentatus;69003;France;51;F
1491958;;838805;02/06/15 00:00;12:25:47;546;DREAMSPELL;3553;DREAMSPELL;13/11/15;20:00:00;13/11/15;22:00:00;27.0000;13/11/15;19:47:01;Abonnement mouettes;Client;Abonnement;1er Serie;ORCHESTRE;GUICHET;CZERWIEC;Thթodore et Christel;Thթodore et Christel.CZERWIEC@mail.fr;5 rue Larus argentatus;69003;France;51;F
1491959;;838810;02/06/15 00:00;12:26:55;549;COMMENT VOUS RACONTEZ LA PARTIE?;3584;COMMENT VOUS RACONTEZ LA PARTIE?;11/12/15;20:00:00;11/12/15;21:30:00;27.0000;;;Abonnement mouettes;Client;Abonnement;1er Serie;CORBEILLE;GUICHET;CZERWIEC;Thթodore et Christel;Thթodore et Christel.CZERWIEC@mail.fr;5 rue Larus argentatus;69003;France;51;F
1491960;;838810;02/06/15 00:00;12:26:55;549;COMMENT VOUS RACONTEZ LA PARTIE?;3584;COMMENT VOUS RACONTEZ LA PARTIE?;11/12/15;20:00:00;11/12/15;21:30:00;27.0000;;;Abonnement mouettes;Client;Abonnement;1er Serie;CORBEILLE;GUICHET;CZERWIEC;Thթodore et Christel;Thթodore et Christel.CZERWIEC@mail.fr;5 rue Larus argentatus;69003;France;51;F
1491961;;838759;02/06/15 00:00;12:23:14;538;887;3590;887;18/12/15;20:00:00;18/12/15;21:15:00;27.0000;;;Abonnement mouettes;Client;Abonnement;1er Serie;CORBEILLE;GUICHET;CZERWIEC;Thթodore et Christel;Thթodore et Christel.CZERWIEC@mail.fr;5 rue Larus argentatus;69003;France;51;F
1491962;;838759;02/06/15 00:00;12:23:14;538;887;3590;887;18/12/15;20:00:00;18/12/15;21:15:00;27.0000;;;Abonnement mouettes;Client;Abonnement;1er Serie;CORBEILLE;GUICHET;CZERWIEC;Thթodore et Christel;Thթodore et Christel.CZERWIEC@mail.fr;5 rue Larus argentatus;69003;France;51;F
1491963;;838762;02/06/15 00:00;12:23:36;539;Sauterelles;3608;Sauterelles;08/01/16;20:00:00;08/01/16;22:30:00;27.0000;;;Abonnement mouettes;Client;Abonnement;1er Serie;ORCHESTRE;GUICHET;CZERWIEC;Thթodore et Christel;Thթodore et Christel.CZERWIEC@mail.fr;5 rue Larus argentatus;69003;France;51;F
1491964;;838762;02/06/15 00:00;12:23:36;539;Sauterelles;3608;Sauterelles;08/01/16;20:00:00;08/01/16;22:30:00;27.0000;;;Abonnement mouettes;Client;Abonnement;1er Serie;ORCHESTRE;GUICHET;CZERWIEC;Thթodore et Christel;Thթodore et Christel.CZERWIEC@mail.fr;5 rue Larus argentatus;69003;France;51;F
1491965;;838771;02/06/15 00:00;12:23:59;543;KISS & CRY;3651;KISS & CRY;05/02/16;20:00:00;05/02/16;22:00:00;27.0000;;;Abonnement mouettes;Client;Abonnement;1er Serie;ORCHESTRE;GUICHET;CZERWIEC;Thթodore et Christel;Thթodore et Christel.CZERWIEC@mail.fr;5 rue Larus argentatus;69003;France;51;F
